id_cartorio,texto,estado,cidade,data
219,Apartamento (250m²) transferido de Guerra e Filhos (82.657.304/0001-90) para Sr. José Pedro Machado (785.932.406-74) por meio de Compra e Venda.,DF,Brasília,12/2024
320,"Casa de 235m², Compra e Venda realizado entre Dr. Kevin Ramos (238.540.691-89) e Aparecida (06.591.328/0001-06).",RR,Boa Vista,07/2023
270,Casa (197m²) transferido de Igor Pereira (806.395.127-12) para Esther Lopes (403.615.289-06) por meio de Compra e Venda.,CE,Sobral,05/2024
223,"Terreno Rural de 45041m², Compra e Venda realizado entre Cecília Macedo (352.768.904-47) e Vitor Cassiano (249.713.856-73).",PA,Ananindeua,06/2024
103,"Casa de 86m², Recuperação de Crédito realizado entre Enzo Camargo (852.341.607-26) e Cirino Costela e Filhos (48.962.31%5/0001-4).",PB,Santa Rita,10/2023
71,"Terreno Rural de 9935m², Recuperação de Crédito realizado entre Zoe da Mata (023.914.567-43) e Silveira (54.836.729/0001-21).",SP,São Paulo,11/2023
133,Terreno Rural (31145m²) transferido de Martins Rezende - EI (63.052.849/0001-29) para Dra. Camila Sá (034.786.152-08) por meio de Recuperação de Crédito.   ,PA,Ananindeua,05/2024
192,Processo de Usucapião Extrajudicial: Casa de 158m² passou de Anna Liz Mendonça (459.086.137-20) para Thomas Porto (483.652.701-53).,DF,Brasília,07/2023
322,Processo de Compra e Venda: Terreno Rural de 24636m² passou de Correia (65.431.097/0001-32) para Ravi Lucca Campos (984.706.152-11).,RN,Natal,09/2024
14,Casa (257m²) transferido de Camila Carvalho (260.914.357-52) para da Costa (45.368.109/0001-14) por meio de Recuperação de Crédito.,BA,Feira de Santana,05/2023
150,Apartamento com 225m² foi transferido de Ana Cecília Sousa (345.029.187-41) para Julia Rios (690.574.312-70) através de Compra e Venda.,SE,Aracaju,04/2024
109,Casa de 186m² transferido de Leandro Rodrigues (426.870.359-47) para Lucca Mendonça (905.32$8.167-30) via Compra e Venda.,RS,Caxias do Sul,07/2024
304,Casa (68m²) transferido de Dr. Felipe Peixoto (430.967.821-13) para Letícia Gonçalves (934.652.708-00) por meio de Compra e Venda.,BA,Salvador,02/2024
4,"Terreno Rural de 5752m², Compra e Venda realizado entre Ester Aragão (157.932.608-03) e Marina Nogueira (560.187.234-17).",AL,Maceió,03/2023
256,Processo de Usucapião Extrajudicial: Terreno Rural de 16833m² passou de Machado (15.730.496/0001-26) para Diego Melo (712.605.489-02).,MS,Três Lagoas,07/2024
180,"Apartamento de 109m², Usucapião Extrajudicial realizado entre Dra. Isabelly Dias (247.063.891-78) e Ana Beatriz Teixeira (697.348.250-38).",AM,Itacoatiara,04/2023
151,Terreno Rural com 14337m² foi transferido de Pimenta e Filhos (50.748.926/0001-38) para Lopes da Cruz e Filhos (02.695.374/0001-02) através de Compra e Venda.,DF,Brasília,04/2023
148,Apartamento de 127m² transferido de Rafaela Lopes (976.031.842-31) para Garcia (34.206.179/0001-50) via Recuperação de Crédito.,RJ,Rio de Janeiro,03/2024
145,Processo de Recuperação de Crédito: Terreno Rural de 3317m² passou de Júlia Mendes (284.503.716-35) para Silva (16.293.578/0001-13).,AM,Parintins,07/2024
236,"Terreno Rural de 35709m², Recuperação de Crédito realizado entre Rael Cunha (321.467.985-64) e Garcia Machado S/A (72.365.194/0001-30).",BA,Feira de Santana,04/2023
145,Apartamento (298m²) transferido de Juan Pastor (430.916.852-33) para Ribeiro Araújo e Filhos (64.908.725/0001-65) por meio de Compra e Venda.,AM,Parintins,10/2024
43,Casa com 87m² foi transferido de Sophie Moura (703.126.948-22) para Catarina Castro (923.170.865-12) através de Usucapião Extrajudicial.,PB,Santa Rita,02/2024
52,Terreno Rural (19074m²) transferido de Pimenta - EI (38.942.561/0001-82) para André Pacheco (540.328.167-35) por meio de Recuperação de Crédito.,PI,Picos,02/2023
300,Processo de Recuperação de Crédito: Terreno Rural de 11853m² passou de Barros Vieira - EI (85.270.693/0001-95) para Jesus Azevedo - EI (49.583.760/0001-68).,GO,Rio Verde,09/2024
244,"Casa de 118m², Compra e Venda realizado entre Ana Cecília Fogaça (780.536.214-90) e da Cunha (80.947.523/0001-89).",MT,Várzea Grande,09/2023
323,Terreno Rural (40677m²) transferido de Rios (71.928.045/0001-79) para Maria Júlia Alves (510.834.972-60) por meio de Compra e Venda.,AP,Laranjal do Jari,10/2024
191,Terreno Rural de 40862m² transferido de Cavalcanti e Filhos (36.029.475/0001-58) para Porto Freitas Ltda. (08.963.247/0001-15) via Compra e Venda.,TO,Araguaína,04/2023
343,"Terreno Rural de 26783m², Usucapião Extrajudicial realizado entre Brito (93.746.120/0001-13) e Pacheco (53.107.942/0001-30).",MA,Timon,05/2023
150,Apartamento (129m²) transferido de Fernandes (07.128.435/0001-65) para Moura Cassiano Ltda. (87.451.923/0001-48) por meio de Recuperação de Crédito.,SE,Aracaju,04/2023
112,Processo de Compra e Venda: Apartamento de &160² passou de Guilherme Mendonça (127.593.640-70) para Theodoro Santos (427.593.806-29).   ,PA,Ananindeua,09/2024
279,Processo de Compra e Venda: Apartamento de 166m² passou de Silveira (61.738.049/0001-30) para Barbosa (78.036.915/0001-44).,BA,Salvador,01/2024
343,Casa (268m²) transferido de Isaac Carvalho (732.850.469-29) para Luiza Marques (051.294.638-89) por meio de Recuperação de Crédito.,MA,Timon,12/2024
125,Apartamento de 228m² transferido de Farias (67.194.583/0001-00) para Ágatha da Conceição (485.176.923-73) via Usucapião Extrajudicial.,PE,Caruaru,09/2024
214,Casa de 128m² transferido de Dias S/A (68.973.401/0001-61) para Gonçalves (74.029.586/0001-53) via Compra e Venda.,RO,Ji-Paraná,06/2023
90,"Terreno Rural de 46848m², Usucapião Extrajudicial realizado entre Alice Machado (824.071.359-97) e Casa Grande Albuquerque - EI (56.290.147/0001-18).",DF,Brasília,10/2024
237,Apartamento com 244m² foi transferido de Pietro Caldeira (082.479.561-01) para José Pedro Garcia (395.607.812-86) através de Compra e Venda.,GO,Goiânia,06/2024
49,"Apartamento de 119m², Recuperação de Crédito realizado entre Jade Rocha (790.185.243-79) e Camargo (20.539.467/0001-11).",PE,Caruaru,01/2025
48,Casa com 281m² foi transferido de Duarte (87.605.942/0001-81) para Pastor (20.894.731/0001-35) através de Usucapião Extrajudicial.,PE,Olinda,05/2024
357,"Terreno Rural de 27772m², Recuperação de Crédito realizado entre Cecília Rodrigues (940.127.536-06) e Bianca Costela (543.091.782-60).",PB,João Pessoa,10/2024
142,Apartamento com 243m² foi transferido de Teixeira (46.203.987/0001-42) para Enzo Carvalho (075.618.294-85) através de Usucapião Extrajudicial.,ES,Vila Velha,02/2023
165,Casa de 260m² transferido de Viana Ltda. (49.130.862/0001-28) para da Rocha (81.546.720/0001-59) via Recuperação de Crédito.,RS,Caxias do Sul,02/2025
194,Apartamento (277m²) transferido de Farias (38.210.645/0001-21) para Pietra Martins (673.412.058-90) por meio de Recupera#ção de Crédito.,RR,Caracaraí,12/2023
269,"Casa de 163m², Usucapião Extrajudicial realizado entre Larissa %Alves (124.736.80-07) e Sra. Bárbara Brito (823.749.516-00).",AM,Parintins,07/2023
116,Casa de 105m² transferido de Isis Andrade (605.931.872-02) para Allana Montenegro (876.495.012-30) via Recuperação de Crédito.,RO,Ariquemes,03/2024
179,"Casa de 223m², Compra e Venda realizado entre Sr. Anthony Nascimento (328.764.951-55) e Sr. Kaique Duarte (452.870.316-53).   ",RO,Ariquemes,09/2023
354,Processo de Recuperação de Crédito: Apartamento de 246m² passou de da Rosa Ltda. (57.394.208/0001-50) para Moraes Ltda. (32.510.697/0001-37).,TO,Palmas,11/2023
345,Casa de 288m² transferido de Alves (37.502.416/0001-18) para Souza S.A. (68.234.579/0001-90) via Compra e Venda.,PB,Campina Grande,07/2023
218,Processo de Recuperação de Crédito: Apartamento de 140m² passou de Eloá Azevedo (285.943.071-79) para Srta. Evelyn Marques (389.765.410-57).,PE,Olinda,05/2024
101,"Casa de 270m², Usucapião Extrajudicial realizado entre Casa Grande (35.816.094/0001-56) e Borges (30.528.691/0001-61).",ES,Vitória,12/2023
336,Apartamento (50m²) transferido de Ana Carolina Casa Grande (895.701.623-68) para Isaque Araújo (278.650.349-38) por meio de Usucapião Extrajudicial.,AM,Itacoatiara,01/2025
168,Apartamento de 108m² transferido de Nathan Vargas (867.310.259-68) para Marcos Vinicius Azevedo (123.754.089-50) via Compra e Venda.,GO,Goiânia,08/2024
354,Apartamento de 113m² transferido de Srta. Marcela Correia (528.437.190-97) para Barros (15.428.906/0001-89) via Recuperação de Crédito.,TO,Palmas,01/2024
27,Casa (209m²) transferido de Pinto Costa - ME (15.780.264/0001-82) para Pires - EI (70.928.316/0001-23) por meio de Usucapião Extrajudicial.,MA,Imperatriz,02/2025
234,Apartamento de 88m² transferido de Julia Nunes (850.192.376-12) para da Mata Fogaça e Filhos (31.657.420/0001-79) via Compra e Venda.,CE,Sobral,03/2024
306,Processo de Compra e Venda: Casa de 143m² passou de Lavínia Leão (786.523.049-47) para Almeida (34.890.756/0001-75).,RJ,Niterói,01/2025
42,"Casa de 192m², Compr e Venda realizado entre Rafaela Rodrigues (074.125.938-97) e Davi Miguel Pires (951.647.083-10).   ",PB,Campina Grande,08/2024
338,Terreno Rural de 28375m² transferido de Carvalho Jesus S/A (17.380.645/0001-08) para Ana Julia Carvalho (641.092.783-50) via Recuperação de Crédito.,RR,Caracaraí,12/2023
23,Apartamento de 178m² transferido de Antônio Abreu (423.760.591-43) para Valentina Silva% (630.728.195-21) via Usucapião Extrajudicial.,GO,Goiânia,11/2023
203,Casa (63m²) transferido de Cirino S/A (64.915.027/0001-97) para Luigi Pinto (817.359.460-01) por meio de Compra e Venda.,RJ,Rio de Janeiro,12/2024
115,Apartamento de 50m² transferido de Souza Vargas S.A. (18.720.346/0001-20) para Costela Pereira - EI (79.865.034/0001-07) via Usucapião Extrajudicial.,AP,Santana,05/2024
163,Casa de 126m² transferido de Anthony Barros (206.597.843-00) para Heitor Barbosa (340.897.261-31) via Compra e Venda.,AP,Santana,01/2024
12,Processo de Usucapião Extrajudicial: Casa de 154m² passou de Carlos Eduardo Oliveira (217.384.096-78) para Borges (01.376.924/0001-50).,AM,Itacoatiara,11/2024
136,Apartamento (140m²) transferido de Davi Lucas Vieira (728.956.341-73) para Oliveira Vieira Ltda. (09.718.236/0001-32) por meio de Recuperação de Crédito.,RJ,Niterói,09/2023
319,Apartamento com 179m² foi transferido de João Lucas da Mata (531.469.872-28) para Aragão (24.657.389/0001-00) através de Recuperação de Crédito.,RR,Rorainópolis,09/2024
244,Processo de Recuperação de Crédito: Apartamento de 64m² passou de Cunha Gomes - ME (93.680.471/0001-79) para Olívia Rios (640.752.931-06).   ,MT,Várzea Grande,01/2025
226,Apartamento de 236m² transferido de Caldeira S.A. (26.853.170/0001-02) para Pacheco (21.470.683/0001-10) via Usucapião Extrajudicial.,ES,Vitória,09/2023
161,"Casa de 233m², Compra e Venda realizado entre Fernandes (51.789.243/0001-91) e Emanuella Silveira (168.940.275-01).",MG,Uberlândia,10/2023
124,Casa de 207m² transferido de DanielaLopes (860.347.521-08) para Ramos e Filhos (72.840.569/0001-76) via Compra e Venda.,AP,Santana,09/2024
80,Terreno Rural com 9716m² foi transferido de Marcelo Pacheco (039.471.258-79) para Maria Clara Nogueira (023.765.419-99) através de Recuperação de Crédito.,RS,Pelotas,02/2023
105,Apartamento de 230m² transferido de Julia Cardoso (017.594.328-14) para Sousa Cavalcanti Ltda. (13.842.956/0001-82) via Recuperação de Crédito.,PE,Caruaru,02/2025
21,Processo de Recuperação de Crédito: Terreno Rural de 21837m² passou de Pedro Leão (735.241.069-43) para Stephany Sales (078.652.491-01).,ES,Vila Velha,11/2023
180,Casa (85m²) transferido de Barros (94.821.576/0001-63) para Ana Carolina Pires (139.762.508-21) por meio de Recuperação de Crédito.,AM,Itacoatiara,05/2023
320,"Apartamento de 167m², Usucapião Extrajudicial realizado entre Brito S/A (87.124.093/0001-44) e Gabriel Marques (382.069.174-03).",RR,Boa Vista,11/2023
35,Processo de Recuperação de Crédito: Apartamento de 195m² passou de Monteiro Abreu e Filhos (32.695.017/0001-05) para Natália Camargo (548.621.937-73).,MG,Belo Horizonte,05/2023
292,Casa com 143m² foi transferido de Dr. Danilo Costela (901.456.832-06) para Gomes e Filhos (03.182.475/0001-34) através de Compra e Venda.,MS,Campo Grande,10/2023
16,Casa com 188m² foi transferido de Sr. Pedro Henrique Rezende (470.312.586-26) para Caroline da Costa (907.563.128-68) através de Usucapião Extrajudicial.,CE,Fortaleza,04/2024
165,Casa com 288m² foi transferido de Gonçalves (1.970.865/0001-95) para Otto da Mata (059.482.761-20) através de Usucapião Extrajudicial.,RS,Caxias do Sul,10/2023
305,Terreno Rural de 25137m² trans$ferido de Maria Luiza Cavalcnti (876.430.951-75) para Mendonça (79.623.814/0001-32) via Recuperação de Crédito.   ,SE,Lagarto,08/2024
11,Terreno Rural de 35530m² transferido de Fonseca (48.712.369/0001-53) para Novais (15.782.960/0001-28) via Recuperação de Crédito.,AM,Parintins,12/2023
245,Apartamento com 269m² foi transferido de Dr. Davi Luiz Sá (750.398.642-56) para Dra. Jade Sousa (967.130.425-70) através de Recuperação de Crédito.,MS,Três Lagoas,07/2023
227,Casa (211m²) transferido de Nicole Campos (645.371.289-09) para Silva (57.094.268/0001-57) por meio de Usucapião Extrajudicial.,PR,Curitiba,04/2023
30,Terreno Rural com 15998m² foi transferido de Hadassa Costa (362.718.940-03) para Pastor Câmara S.A. (25.074.196/0001-90) através de Compra e Venda.,MT,Várzea Grande,05/2024
106,"Casa de 298², Recuperação de Crédito realizado entre Hellena Ca@valcanti (937.056.182-02) e Santos (47.863.095/0001-30).   ",SC,Joinville,05/2023
168,Casa de 277m² transferido de Henry Pastor (378.210.549-41) para Zoe Costa (136.952.847-73) via Usucapião Extrajudicial.,GO,Goiânia,07/2023
43,Terreno Rural (29815m²) transferido de Benjamim Sales (495.273.806-00) para Theo Leão (039.745.162-80) por meio de Compra e Venda.,PB,Santa Rita,12/2023
200,"Apartamento de 108m², Compra e Venda realizado entre Peixoto (07.489.613/0001-83) e Rodrigues S/A (12.368.504/0001-48).",AP,Macapá,01/2024
159,Apartamento de 124m² transferido de Pereira (64.291.580/0001-04) para Barbosa S.A. (01.462.957/0001-12) via Compra e Venda.,PE,Olinda,07/2023
194,Processo de Recuperação de Crédito: Terreno Rural de 45058m² passou de Cavalcanti - ME (07.956.812/0001-54) para Vasconcelos (95.486.370/0001-97).,RR,Caracaraí,08/2023
178,Apartamento de 98m² transferido de Juliana Sales (567.201.938-21) para Caldeira (86.723.945/0001-57) via Usucapião Extrajudicial.,AC,Rio Branco,04/2024
88,Processo de Recuperação de Crédito: Apartamento de 91m² passou de Almeida Fonseca - EI (94.307.128/0001-46) para Rebeca Pacheco (127.638.504-80).,PE,Recife,10/2023
162,"Terreno Rural de 26652m², Recuperação de Crédito realizado entre Monteiro (25.418.376/0001-41) e Raquel Melo (625.741.809-76).",PI,Picos,11/2023
165,"Terre&no Rural de 3401m², Recuperação de Crédito realizado entre Fernando Pinto (960.537.428-56) e Rezende Ribeiro S/A (50.147.962/0001-46).",RS,Caxias do Sul,01/2025
177,"Apartamento de 169m², Compra e Venda realizado entre Maysa Casa Grande (503.241.697-52) e Carvalho e Filhos (57.348.620/0001-33).",PR,Curitiba,05/2023
196,Casa com 109m² foi transferido de da Cruz Cassiano - EI (49.70$2.581/0001-00) para Gomes Andrade -ME (60.385.197/0001-56) através de Recuperação de Crédito.   ,PE,Caruaru,07/2023
91,Processo de Compra e Venda: Casa de 177m² passou de Martins e Filhos (69.352.081/0001-95) para Oliveira (26.487.193/0001-40).,RR,Caracaraí,08/2024
241,"Terreno Rural de 24464m², Usucapião Extrajudicial realizado entre Davi Miguel Siqueira (608.473.295-00) e Freitas Rezende Ltda. (57.289.064/0001-71).",MA,São Luís,11/2023
215,Apartamento com 127m² foi transferido de Alana Duarte (182.976.034-31) para Cassiano S/A (12.836.974/0001-99) através de Compra e Venda.,AC,Cruzeiro do Sul,01/2024
74,Terreno Rural com 43007m² foi transferido de Yasmin% Camargo (529.048.736-00) para Maria Isis Mendonça (540.261.873-90) através de Compra e Venda.   ,SE,Aracaju,04/2023
82,Processo de Usucapião Extrajudicial: Casa de 123m² passou de Moreira (08.271.536/0001-53) para Maria Eduarda da Luz (584.692.137-09).,BA,Feira de Santana,01/2024
258,Terreno Rural de 39139m² transferido de Enzo Cavalcante (496.528.710-01) para Gomes Nunes - ME (75.216.309/0001-12) via Recuperação de Crédito.,AC,Rio Branco,04/2023
262,Apartamento (293m²) transferido de Ana Carolina Barbosa (416.837.902-78) para Henry Gonçalves (809.743.216-13) por meio de Recuperação de Crédito.,SP,Campinas,10/2024
33,Casa de 152m² transferido de Pedro da Luz (147.806.293-22) para Peixoto Albuquerque Ltda. (15.024.763/0001-40) via Compra e Venda.,MS,Dourados,04/2023
346,Processo de Usucapião Extrajudicial: Apartamento de 279m² passou de Moura Rios - ME (78.534.062/0001-70) para Leão (16.083.279/0001-5&4).,MA,São Luís,05/2023
173,Processo de Usucapião Extrajudicial: Apartamento de 249m² passou de Fonseca S.A. (79.480.512/0001-52) para Benjamin Guerra (491.028.753-14).,RO,Ji-Paraná,05/2024
252,Casa (131m²) transferido de Lopes Ltda. (84.269.371/0001-63) para Dra. Ana Clara Sá (258.146.970-67) por meio de Recuperação de Crédito.,AL,Maceió,07/2023
250,"Casa de 50m², Compra e Venda realizado entre Brito S/A (0.743@.195/0001-71) e Castro (18.657.094/0001-31).   ",PI,Parnaíba,04/2024
193,"Apartamento de 213m², Recuperação de Crédito realizado entre Marcelo Martins (109.532.748-88) e Moraes (48.397.206/0001-23).",PI,Picos,03/2024
353,Casa com 229m² foi transferido de Viana Fonseca e Filhos (71.462.953/0001-10) para Almeida (05.196.274/0001-11) através de Usucapião Extrajudicial.,SP,Campinas,11/2024
319,Apartamento de 176m² transferido de Maria Cecília Teixeira (397.160.584-20) para da Conceição S.A. (43.620.978/0001-69) via Compra e Venda.,RR,Rorainópolis,05/2023
82,Apartamento de 256m² transferido de Sr. Valentim Vieira (642.093.157-61) para Teixeira (67.038.425/0001-60) via Compra e Venda.,BA,Feira de Santana,11/2023
136,"Terreno Rural de 15943m², Recuperação de Crédito realizado entre Brayan Dias (486.935.107-20) e Vinícius Câmara (794.361.025-34).",RJ,Niterói,08/2023
218,C&asa de 169m² transferido de Josué Garcia (214.58.906-49) para Dias Ltda. (08.123.497/0001-47) via Recuperação de Crédito.,PE,Olinda,06/2024
205,"Terreno Rural de 49626m², Recuperação de Crédito realizado entre Bruno Nascimento (532.790.186-68) e Olívia Sales (579.631.084-48).",BA,Feira de Santana,04/2024
30,Processo de Compra e Venda: Apartamento de 147m² passou de Bruna Albuquerque (192.378.456-00) para Dra. Maria Flor Araújo (314.657.028-90).,MT,Várzea Grande,02/2023
18,Casa de 262m² transferido de Cecilia da Conceição (469.280.371-13) para Mateus Siqueira (072.319.586-21) via Compra e Venda.,CE,Sobral,11/2023
42,"Casa de 159m², Compra e Venda realizado entre Almeida Barros S/A (85.402.397/0001-09) e Lucas Ramos (365.729.480-56).",PB,Campina Grande,09/2023
343,Apartamento de 51m² transferido de Raul Rezende (721.390.864-22) para Cecilia da Paz (031.786.425-44) via Usucapião Extrajudicial.,MA,Timon,03/2023
313,"Terreno Rural de 11324m², Usucapião Extrajudicial realizado entre Ramos (89.364.201/0001-81) e Antony Fernandes (501.348.629-70).",ES,Vila Velha,01/2025
180,Casa (79m²) transferido de Bruna Brito (850.234.619-98) para Azevedo Moreira S/A (06.157.934/0001-18) por meio de Recuperação de Crédito.,AM,Itacoatiara,12/2023
307,Apartamento de 168m² transferido de Theodoro Novaes (059.487.326-65) para Ramos (84.561.723/0001-50) via Usucapião Extrajudicial.   ,CE,Juazeiro do Norte,02/2024
29,Aparamento com 233m² foi transferido de Casa Grande (68.531.407/0001-89) para Freitas S/A (31.046.592/0001-06) através de Recuperação de Crédito.   ,MT,Cuiabá,11/2024
40,Apartamento de 88m² transferido de Fonseca e Filhos (35.641.780/0001-33) para Pereira Vasconcelos Ltda. (39.810.725/0001-80) via Usucapião Extrajudicial.,PA,Santarém,01/2025
360,"Apartamento de 85m², Compra e Venda realizado entre Dr. Calebe Sampaio (683.970.512-95) e Silva (95.842.630/0001-10).",ES,Cariacica,04/2023
42,Apartamento de 289m² transferido de Lara Sousa (025.489.613-89) para Nina Cardoso (954.136.827-19) via Recuperação de Crédito.,PB,Campina Grande,06/2024
32,"Apartamento de 230m², Recuperação de Crédito realizado entre João Gabriel Siqueira (682.703.451-80) e Allana da Costa (132.948.705-23).",MS,Campo Grande,05/2024
195,Apartamento (236m²) transferido de Sophia Costela (329.586.714-37) para da Conceição Albuquerque Ltda. (75.628.390/0001-48) por meio de Usucapião Extrajudicial.,PR,Maringá,10/2024
224,Terreno Rural (39609m²) transferido de Marcos Vinicius Peixoto (328.691.075-95) para Vitor Gabriel da Costa (146.509.382-60) por meio de Usucapião Extrajudicial.,GO,Anápolis,07/2023
26,Processo de Recuperação de Crédito: Casa de 113m² passou de Sophie Santos (968.051.427-76) para Lima (60.589.214/0001-77).,MA,São Luís,11/2024
284,Apartamento com 78m² foi transferido de Costela (29.806.471/0001-73) para Maria Laura Pacheco (461.759.823-55) através de Compra  Venda.   ,PE,Olinda,09/2024
93,Terreno Rural (15382m²) transferido de Davi Lucca Costa (264.051.938-70) para Cauê Azevedo (584.032.716-62) por meio de Recuperação de Crédito.,GO,Rio Verde,07/2024
75,Processo de Usucapião Extrajudicial: Apartamento de 161m² passou de Correia (79.620.538/0001-59) para Pastor (31.027.495/0001-76).,SE,Nossa Senhora do Socorro,10/2024
272,Apartamento (223m²) transferido de Lara Costela (261.375.094-43) para Casa Grande (78.512.930/0001-11) por meio de Recuperação de Crédito.,TO,Palmas,03/2023
328,Terreno Rural (7534m²) transferido d Noah Vargas (531.274.086-17) para& Maria Clara Silveira (934.178.502-23) por meio de Compra e Venda.,PI,Picos,11/2024
3,Processo de Compra e Venda: Terreno Rural de 45771m² passou de Emanuelly Cirino (459.032.786-47) para Vasconcelos (12.530.768/0001-56).,AC,Sena Madureira,01/2025
304,Terreno Rural (15324m²) transferido de Rocha (86.123.079/0001-63) para Pimenta Sá - ME (80.695.243/0001-20) por meio de Usucapião Extrajudicial.,BA,Salvador,07/2024
147,Apartamento (153m²) transferido de Nogueira Pacheco e Filhos (90.716.823/0001-00) para Milena Machado (218.370.654-62) por meio de Recuperação de Crédito.,AM,Itacoatiara,10/2024
185,"Casa de 173m², Usucapião Extrajudicial realizado entre da Cruz S/A (21.307.958/0001-08) e Nicole Gomes (865.014.239-70).",MT,Cuiabá,11/2024
173,Casa (144m²) transferido de Bruno Ribeiro (215.904.687-67) para Larissa Alves (750.468.321-35) por meio de Recuperação de Crédito.,RO,Ji-Paraná,07/2024
167,Apartamento com 156m² foi transferido de Mendonça (71.683.549/0001-76) para Jade Almeida (075.948.613-10) através de Usucapião Extajudicial.   ,MG,Belo Horizonte,01/2025
212,"Terreno Rural de 41528m², Recuperação de Crédito realizado entre Luísa Pastor (084.362.517-17) e Caldeira (63.491.287/0001-10).",AC,Sena Madureira,06/2024
68,Apartamento com 106m² foi transferido de Emanuelly Azevedo (957.284.310-97) para Rocha S/A (56.213.908/0001-38) através de Usucapião Extrajudicial.,SC,Florianópolis,07/2023
37,Casa (259m²) transferido de R&drigo da Costa (621.954.083-24) para Mirella Borges (186.347.092-13) por meio de Recuperação de Crédito.   ,MG,Juiz de Fora,05/2024
209,Apartamento de 210m² transferido de Sr. Bryan Sales (279.310.864-22) para Marques (02.849.361/0001-32) via Usucapião Extrajudicial.,MT,Cuiabá,05/2023
88,Terreno Rural de 18754m² transferido de Machado Camargo - EI (68.079.251/0001-47) para Vieira (52.480.617/0001-55) via Compra e Venda.,PE,Recife,08/2024
351,Terreno Rural de 15593m² transferido de Andrade (43.581.270/0001-46) para Dr. Otto Camargo (257.694.380-29) via Recuperação de Crédito.,PB,João Pessoa,05/2024
106,Casa (132m²) transferido de Srta. Ester Farias (439.785.216-28) para Benjamim Monteiro (290.813.746-13) por meio de Compra e Venda.,SC,Joinville,01/2024
251,Processo de Compra$ e Venda: Apartamento de 250m² passou de Nunes Fonseca - ME (59.260.781/0001-04) para Sra. Fernanda Fonseca (486.790.135-01).,AC,Rio Branco,01/2025
103,Apartamento com 210m² foi transferido de da Conceição Novais e Filhos (63.972.105/0001-22) para Kevin da Paz (795.836.421-00) através de Compra e Venda.,PB,Santa Rita,08/2024
338,Terreno Rural de 45685m² transferido de Cunha S/A (90.413.576/0001-73) para Eloah Cardoso (634.109.582-15) via Recuperação de Crédito.,RR,Caracaraí,05/2023
177,Apartamento de 118m² transferido de Silveira (48.962.@735/0001-22) para Novaes (57.302.146/0001-09) via Recuperação de Crédto.   ,PR,Curitiba,05/2024
161,Processo de Usucapião Extrajudicial: Apartamento de 120m² passou de Costa (09.567.431/0001-09) para Sousa (56.489.130/0001-94).,MG,Uberlândia,07/2023
183,Casa (131m²) transferido de Borges (57.624.018/0001-81) para Nathan Ribeiro (586.319.240-24) por meio de Usucapião Extrajudicial.,AC,Rio Branco,03/2023
254,Terreno Rural (10000m²) transferido de Pietro Albuquerque (201.574.836-90) para Pimenta - EI (29.684.715/0001-92) por meio de Recuperação de Crédito.,TO,Araguaína,12/2024
